No,Timestamp,Date,Time,Power (W),Energy (kWh),Hourly Cost (৳)
46,Fri Nov 21 2025 21:34:56 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:56,32.9,0.7095,0.31
47,Fri Nov 21 2025 21:34:54 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:54,32.9,0.7095,0.31
48,Fri Nov 21 2025 21:34:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:51,32.9,0.7095,0.31
49,Fri Nov 21 2025 21:34:51 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:51,32.9,0.7095,0.31
50,Fri Nov 21 2025 21:34:47 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:47,32.9,0.7095,0.31
51,Fri Nov 21 2025 21:34:46 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:46,32.9,0.7095,0.31
52,Fri Nov 21 2025 21:34:44 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:44,32.9,0.7095,0.31
53,Fri Nov 21 2025 21:34:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:41,32.9,0.7095,0.31
54,Fri Nov 21 2025 21:34:41 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:41,32.9,0.7095,0.31
55,Fri Nov 21 2025 21:34:37 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:37,32.9,0.7095,0.31
56,Fri Nov 21 2025 21:34:36 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:36,32.9,0.7095,0.31
57,Fri Nov 21 2025 21:34:34 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:34,32.9,0.7095,0.31
58,Fri Nov 21 2025 21:34:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:31,32.9,0.7095,0.31
59,Fri Nov 21 2025 21:34:30 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:30,32.9,0.7095,0.31
60,Fri Nov 21 2025 21:34:27 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:34:27,32.9,0.7095,0.31
