No,Timestamp,Power (W),Energy (kWh),Hourly Cost (৳)
60,Fri Nov 21 2025 20:12:42 GMT+0600 (Bangladesh Standard Time),6.5,0.0065,0.061
61,Fri Nov 21 2025 20:11:42 GMT+0600 (Bangladesh Standard Time),6.5,0.0065,0.061
62,Fri Nov 21 2025 20:11:42 GMT+0600 (Bangladesh Standard Time),6.5,0.0065,0.061
63,Fri Nov 21 2025 19:55:22 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
64,Fri Nov 21 2025 19:55:21 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
65,Fri Nov 21 2025 19:54:22 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
66,Fri Nov 21 2025 19:54:21 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
67,Fri Nov 21 2025 19:53:22 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
68,Fri Nov 21 2025 19:53:21 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
69,Fri Nov 21 2025 19:52:22 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
70,Fri Nov 21 2025 19:52:21 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
71,Fri Nov 21 2025 19:51:23 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
72,Fri Nov 21 2025 19:51:22 GMT+0600 (Bangladesh Standard Time),26.2,0.0262,0.247
73,Fri Nov 21 2025 19:50:22 GMT+0600 (Bangladesh Standard Time),21.1,0.0211,0.199
74,Fri Nov 21 2025 19:50:21 GMT+0600 (Bangladesh Standard Time),16.8,0.0168,0.158
75,Fri Nov 21 2025 19:49:22 GMT+0600 (Bangladesh Standard Time),16.8,0.0168,0.158
76,Fri Nov 21 2025 19:49:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
77,Fri Nov 21 2025 19:48:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
78,Fri Nov 21 2025 19:48:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
79,Fri Nov 21 2025 19:47:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
80,Fri Nov 21 2025 19:47:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
81,Fri Nov 21 2025 19:46:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
82,Fri Nov 21 2025 19:46:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
83,Fri Nov 21 2025 19:45:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
84,Fri Nov 21 2025 19:45:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
85,Fri Nov 21 2025 19:44:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
86,Fri Nov 21 2025 19:44:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
87,Fri Nov 21 2025 19:43:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
88,Fri Nov 21 2025 19:43:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
89,Fri Nov 21 2025 19:42:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
90,Fri Nov 21 2025 19:42:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
91,Fri Nov 21 2025 19:41:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
92,Fri Nov 21 2025 19:41:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
93,Fri Nov 21 2025 19:40:22 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
94,Fri Nov 21 2025 19:40:21 GMT+0600 (Bangladesh Standard Time),30.1,0.0301,0.284
95,Fri Nov 21 2025 19:39:22 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
96,Fri Nov 21 2025 19:39:21 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
97,Fri Nov 21 2025 19:38:22 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
98,Fri Nov 21 2025 19:38:21 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
99,Fri Nov 21 2025 19:37:22 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
100,Fri Nov 21 2025 19:37:21 GMT+0600 (Bangladesh Standard Time),5.9,0.0059,0.056
